"학교종류명","설립구분","표준학교코드","학교명","영문학교명","관할조직명","도로명우편번호","도로명주소","도로명상세주소","전화번호","홈페이지주소","팩스번호","남녀공학구분명","고등학교구분명","산업체특별학급존재여부","고등학교일반실업구분명","특수목적고등학교계열명","입시전후기구분명","주야구분명","설립일자","개교기념일","시도교육청코드","시도교육청명","소재지명","주야과정","계열명","학과명","적재일시"
"방송통신중학교","공립","7031272","아현중학교부설방송통신중학교","Open Middle School affiliated with Ahyeon","서울특별시서부교육지원청","04117","서울특별시 마포구 마포대로 247","/ 아현중학교 내 아현방송통신중학교 (아현동)","02-363-1830","http://ahyeon.ms.kr","365-7921","남여공학","","N","","","전기","주간","20150301","20150314","B10","서울특별시교육청","서울특별시","","","","20230709000000"
"초등학교","공립","7031231","서울하늘초등학교","Seoul Haneul Elementary School","서울특별시서부교육지원청","03918","서울특별시 마포구 월드컵북로 502-14","/ 서울하늘초등학교 (상암동)","02-305-7762","http://www.sky.es.kr/","02-305-7764","남여공학","","N","해당없음","","전기","주간","20110301","20110405","B10","서울특별시교육청","서울특별시","","","","20230615000000"
"중학교","사립","7031223","홍익대학교사범대학부속여자중학교","Hongik University Girls’ Middle School","서울특별시서부교육지원청","03967","서울특별시 마포구 성미산로 51","(성산동)","02-331-7410","http://hongikg.sen.ms.kr","02-331-7493","여","","N","일반계","","전기","주간","19671118","19680312","B10","서울특별시교육청","서울특별시","","","","20230615000000"
"중학교","공립","7031219","창천중학교","Changchun Middle School","서울특별시서부교육지원청","04102","서울특별시 마포구 백범로1길 56","(노고산동)","02-701-9595","http://changchun.sen.ms.kr","02-701-9989","남여공학","","N","해당없음","","전기","주간","20090301","20090401","B10","서울특별시교육청","서울특별시","","","","20230615000000"
"중학교","공립","7031215","중암중학교","Joongam Middle School","서울특별시서부교육지원청","03934","서울특별시 마포구 월드컵북로38길 25","(중동/중암중학교)","02-309-5778","http://joongam.sen.ms.kr","02-305-4915","남여공학","","N","일반계","","전기","주간","19841208","19850513","B10","서울특별시교육청","서울특별시","","","","20230615000000"
"중학교","공립","7031202","아현중학교","Ahyeon Middle School","서울특별시서부교육지원청","04117","서울특별시 마포구 마포대로 247","(아현동/아현중학교)","02-363-1813","http://ahyeon.ms.kr","02-392-4470","남여공학","","N","일반계","","전기","주간","19800202","19800202","B10","서울특별시교육청","서울특별시","","","","20230615000000"
"중학교","공립","7031200","신수중학교","Sinsu Middle School","서울특별시서부교육지원청","04087","서울특별시 마포구 신수로 49","/ 신수중학교 (신수동)","02-717-6004","www.sinsu.ms.kr","02-717-6077","남여공학","","N","일반계","","전기","주간","19861215","19870504","B10","서울특별시교육청","서울특별시","","","","20230615000000"
"중학교","사립","7031197","숭문중학교","Soongmoon Middle School","서울특별시서부교육지원청","04126","서울특별시 마포구 숭문길 99","/ 숭문중고등학교 (대흥동)","02-715-4463","http://soongmoon.sen.ms.kr/","02-711-2980","남","","N","일반계","","전기","주간","19060401","19060401","B10","서울특별시교육청","서울특별시","","","","20230615000000"
"중학교","공립","7031196","성서중학교","Seongseo Middle School","서울특별시서부교육지원청","03965","서울특별시 마포구 성산로4길 42","(성산동)","02-3140-7100","http://www.sungseo.ms.kr","02-338-1520","남여공학","","N","일반계","","전기","주간","19840109","19840419","B10","서울특별시교육청","서울특별시","","","","20230615000000"
"중학교","공립","7031195","성산중학교","Sungsan Middle School","서울특별시서부교육지원청","04072","서울특별시 마포구 성지1길 32-13","(합정동)","02-332-0306","http://sungsan.ms.kr/","02-332-8875","남여공학","","N","일반계","","전기","주간","19680117","19671027","B10","서울특별시교육청","서울특별시","","","","20230615000000"
