"행정구역명","학원/교습소","학원지정번호","학원명","도로명주소","도로명상세주소","분야명","교습계열명","교습과정목록명","교습과정명","정원합계","일시수용능력인원합계","인당수강료내용","수강료공개여부","기숙사학원여부","도로명우편번호","등록상태명","등록일자","휴원시작일자","휴원종료일자","개설일자","적재일시"
"마포구","학원","1000003668","중앙정보처리학원","서울특별시 마포구 신촌로 176",", 4층일부(401,402호),6층 (대흥동)","직업기술","컴퓨터","컴퓨터(정보처리,통신기기,인터넷,소프트웨어),","컴퓨터(정보처리,통신기기,인터넷,소프트웨어)","1081","170","","Y","N","04104","개원","19701230","","99991231","19701230","20231018"
"마포구","학원","1000003727","다윈브이스토리미술학원","서울특별시 마포구 와우산로 100",", 3층 (서교동)","예능(대)","예능(중)","미술,","미술","330","114","","N","N","04059","개원","19710624","","99991231","19710624","20231018"
"마포구","학원","1000003731","엠앤엠이화음악학원","서울특별시 마포구 월드컵로25길 98",", 2층 (망원동)","예능(대)","예능(중)","음악,","음악","130","26","","Y","N","03959","개원","19710508","","99991231","19710508","20231018"
"마포구","학원","1000003853","희문음악학원","서울특별시 마포구 동교로19길 48","2층 (서교동)","예능(대)","예능(중)","음악,","음악","45","80","","Y","N","121841","개원","19751211","","99991231","19751211","20231018"
"마포구","학원","1000003886","웅지독서실","서울특별시 마포구 대흥로 180","3층 (대흥동)","독서실","독서","독서실(일반인),","독서실(일반인)","84","84","","N","N","121808","개원","19811022","","99991231","19811022","20231018"
"마포구","학원","1000004758","예스탑학원","서울특별시 마포구 망원로 56","2층 (망원동)","기타(대)","기타(중)","토목,","토목","20","10","","Y","N","121903","개원","19890607","","99991231","19890607","20231018"
"마포구","학원","1000004896","벨라뮤직아카데미음악학원","서울특별시 마포구 망원로 57","2층 (망원동)","예능(대)","예능(중)","음악,","음악","190","60","","N","N","121823","개원","19890722","","99991231","19890722","20231018"
"마포구","학원","1000005164","신예일음악학원","서울특별시 마포구 독막로22길 13","2층 (창전동)","예능(대)","예능(중)","음악,","음악","64","42","","Y","N","121882","개원","19890922","","99991231","19890922","20231018"
"마포구","학원","1000005517","뉴마포전산세무회계학원","서울특별시 마포구 대흥로30길 6-8","4.5층 (대흥동)","인문사회(대)","인문사회(중)","회계,","회계","80","40","","Y","N","121808","개원","19900117","","99991231","19900117","20231018"
"마포구","학원","1000005656","영찬보습학원","서울특별시 마포구 성미산로 39",", 2층 (성산동)","입시.검정 및 보습","보통교과","보습,","보습","72","123","","Y","N","03968","개원","19900214","","99991231","19900214","20231018"
"마포구","학원","1000005928","디자인피노미술학원","서울특별시 마포구 와우산로 124","2.3층 (창전동)","예능(대)","예능(중)","미술,","미술","480","70","","Y","N","121880","개원","19900821","","99991231","19900821","20231018"
"마포구","학원","1000006305","중앙독서실","서울특별시 마포구 월드컵북로 210",", 4층 (성산동)","독서실","독서","독서실(유아/초?중?고),","독서실(유아/초?중?고)","76","170","","Y","N","03941","개원","19911031","","99991231","19911031","20231018"
"마포구","학원","1000006364","가나다한국어학원","서울특별시 마포구 동교로25길 15","3.4.5층 (동교동)","국제화","국제","어학(성인),","어학(성인)","38","92","","N","N","121819","개원","19911228","","99991231","19911228","20231018"
"마포구","학원","1000006464","진진미술학원","서울특별시 마포구 대흥로 36","2층 (용강동)","예능(대)","예능(중)","미술,","미술","30","64","","N","N","121876","개원","19920211","","99991231","19920211","20231018"
"마포구","학원","1000006616","고려간호조무사학원","서울특별시 마포구 서강로 133",", 3층 및 6층 일부 (노고산동)","직업기술","간호보조기술","간호조무사,","간호조무사","146","200","","Y","N","04058","개원","19920407","","99991231","19920407","20231018"
