"기준_년분기_코드","행정동_코드","행정동_코드_명","총_유동인구_수","남성_유동인구_수","여성_유동인구_수","연령대_10_유동인구_수","연령대_20_유동인구_수","연령대_30_유동인구_수","연령대_40_유동인구_수","연령대_50_유동인구_수","연령대_60_이상_유동인구_수","시간대_00_06_유동인구_수","시간대_06_11_유동인구_수","시간대_11_14_유동인구_수","시간대_14_17_유동인구_수","시간대_17_21_유동인구_수","시간대_21_24_유동인구_수","월요일_유동인구_수","화요일_유동인구_수","수요일_유동인구_수","목요일_유동인구_수","금요일_유동인구_수","토요일_유동인구_수","일요일_유동인구_수"
"20191","11680531","논현2동","11183375","5543366","5640010","944451","2225363","2808767","2066050","1248680","1890062","2119216","2255124","1800976","1803572","2031575","1172913","1659400","1677522","1735786","1786794","1736149","1366901","1220824"
"20191","11680545","압구정동","8607650","3916486","4691164","1094191","1450907","1729565","1505968","1026384","1800634","1439527","1633454","1421089","1471914","1726021","915644","1220128","1248281","1277257","1328286","1337061","1179721","1016914"
"20191","11680565","청담동","9810656","4548525","5262131","1103971","1625456","2116634","1750156","1278885","1935555","2057538","2025266","1463356","1466970","1702970","1094556","1386197","1426872","1461306","1503777","1506003","1349955","1176546"
"20191","11680580","삼성1동","5909316","2965347","2943970","568090","979347","1384574","1173519","779612","1024173","1006793","1238360","998906","1007174","1081661","576423","879429","878754","907463","946688","919721","721373","655889"
"20191","11680590","삼성2동","9146130","4432466","4713663","1256244","1420171","2023253","1813641","1072700","1560120","2145820","1968816","1271563","1258703","1464042","1037184","1360890","1359971","1391206","1423723","1388854","1152540","1068943"
"20191","11680600","대치1동","4705745","2186306","2519439","1602530","401199","399131","977366","592093","733425","1122843","906156","581432","627390","871883","596042","660414","656945","668040","675953","682919","697914","663556"
"20191","11680610","대치2동","6818812","3558569","3260243","1529008","939480","1165751","1304134","857950","1022490","1147254","1387390","1107478","1147336","1321437","707918","1020463","1003436","1030790","1063697","1044795","852327","803305"
"20191","11680630","대치4동","9327891","4534064","4793826","1952123","1441621","1687656","1819449","1167709","1259333","1943178","1805391","1347789","1375790","1759595","1096146","1338523","1332310","1367537","1406804","1399004","1293230","1190481"
"20191","11680640","역삼1동","23188491","11945332","11243160","1532441","6282917","6140715","3935008","2392654","2904755","3760107","4501928","3903402","4017954","4599656","2405443","3490431","3467993","3599660","3742539","3692806","2809542","2385523"
"20191","11680650","역삼2동","11223194","5377869","5845326","1646548","1693644","2263977","2336323","1409684","1873020","2354195","2434023","1689756","1673120","1861822","1210280","1690750","1667375","1718302","1757502","1703787","1390832","1294648"
"20191","11680655","도곡1동","5524468","2606835","2917632","825697","720475","929693","967879","777707","1303016","1315686","1183995","743600","721386","911645","648156","809552","804063","817906","832101","820825","728695","711327"
"20191","11680656","도곡2동","3970741","1794476","2176265","677235","444515","582151","760527","596203","910111","916075","831032","541971","537844","675574","468244","576929","576168","582973","594121","588845","532036","519668"
"20191","11680660","개포1동","604579","278739","325839","99450","51741","63894","92137","102500","194855","181288","137302","65549","61679","80536","78223","85954","85699","87287","86498","85613","85660","87870"
"20191","11680670","개포2동","1101571","518815","582757","211191","115769","108820","179697","183917","302177","260087","232205","149689","149322","182077","128191","156295","156003","158765","159517","157890","156210","156894"
"20191","11680690","개포4동","4011473","1969078","2042395","618580","479834","664439","702182","626249","920190","1154438","872513","482912","457990","566947","476672","582386","575764","585421","591721","589703","548211","538267"
"20191","11680700","세곡동","3440536","1580289","1860246","783656","345801","538254","548254","429471","795099","944811","737116","383334","371033","543636","460602","488566","486536","487216","486050","485305","497369","509491"
"20191","11680720","일원본동","3430303","1573653","1856652","773112","334529","402634","549111","506192","864725","1023058","797762","383609","343752","448008","434114","498175","492749","500133","500206","490404","464358","484277"
"20191","11680730","일원1동","3892578","1826330","2066248","552029","481221","538520","560617","667974","1092217","1247150","835280","397665","366697","519360","526425","552518","554428","559856","566979","563282","544211","551305"
"20191","11680740","일원2동","935572","467580","467992","159164","112289","137841","156808","153998","215472","240783","205837","111329","108778","143846","125001","134494","134180","134784","137353","135212","128794","130755"
