"기준_년분기_코드","행정동_코드","행정동_코드_명","총_상주인구_수","남성_상주인구_수","여성_상주인구_수","연령대_10_상주인구_수","연령대_20_상주인구_수","연령대_30_상주인구_수","연령대_40_상주인구_수","연령대_50_상주인구_수","연령대_60_이상_상주인구_수","남성연령대_10_상주인구_수","남성연령대_20_상주인구_수","남성연령대_30_상주인구_수","남성연령대_40_상주인구_수","남성연령대_50_상주인구_수","남성연령대_60_이상_상주인구_수","여성연령대_10_상주인구_수","여성연령대_20_상주인구_수","여성연령대_30_상주인구_수","여성연령대_40_상주인구_수","여성연령대_50_상주인구_수","여성연령대_60_이상_상주인구_수","총_가구_수","아파트_가구_수","비_아파트_가구_수"
"20191","11110515","청운효자동","13047","6111","6936","2248","1648","1879","2304","2035","2933","1196","827","859","1021","973","1235","1052","821","1020","1283","1062","1698","5384","314","5070"
"20191","11110530","사직동","9224","4169","5055","1387","1095","1383","1558","1472","2329","690","492","602","702","662","1021","697","603","781","856","810","1308","4352","163","4189"
"20191","11110540","삼청동","2831","1344","1487","340","336","422","399","465","869","184","165","202","198","212","383","156","171","220","201","253","486","1413","0","1413"
"20191","11110550","부암동","10055","4850","5205","1490","1394","1277","1647","1713","2534","801","761","605","742","804","1137","689","633","672","905","909","1397","4243","74","4169"
"20191","11110560","평창동","18615","8775","9840","3018","2691","2303","2848","3263","4492","1546","1419","1072","1256","1506","1976","1472","1272","1231","1592","1757","2516","7463","459","7004"
"20191","11110570","무악동","8237","3844","4393","1655","927","922","1558","1327","1848","764","419","431","759","659","812","891","508","491","799","668","1036","3024","2289","735"
"20191","11110580","교남동","10525","4912","5613","1750","1357","1888","1880","1526","2124","872","608","903","898","741","890","878","749","985","982","785","1234","4485","53","4432"
"20191","11110600","가회동","4486","2081","2405","593","527","604","806","726","1230","292","253","298","369","349","520","301","274","306","437","377","710","2072","0","2072"
"20191","11110615","종로1?2?3?4가동","7425","4405","3020","477","921","953","964","1442","2668","249","466","556","596","987","1551","228","455","397","368","455","1117","5288","179","5109"
"20191","11110630","종로5?6가동","5291","2901","2390","425","955","638","702","1022","1549","217","551","369","405","580","779","208","404","269","297","442","770","3164","0","3164"
"20191","11110640","이화동","8072","3817","4255","811","1723","1437","1100","1169","1832","403","798","702","548","573","793","408","925","735","552","596","1039","4445","0","4445"
"20191","11110650","혜화동","17044","8252","8792","2155","4256","2418","2422","2288","3505","1097","2159","1240","1169","1086","1501","1058","2097","1178","1253","1202","2004","9051","662","8389"
"20191","11110670","창신1동","5403","2934","2469","469","655","596","776","1185","1722","242","358","345","415","680","894","227","297","251","361","505","828","3019","719","2300"
"20191","11110680","창신2동","9015","4600","4415","953","1324","1036","1370","1893","2439","485","713","584","740","971","1107","468","611","452","630","922","1332","4229","223","4006"
"20191","11110690","창신3동","7151","3508","3643","1042","1046","1068","1052","1308","1635","537","554","514","504","652","747","505","492","554","548","656","888","2747","1691","1056"
"20191","11110700","숭인1동","5603","2797","2806","717","727","798","903","1018","1440","354","379","441","478","511","634","363","348","357","425","507","806","2618","0","2618"
"20191","11110710","숭인2동","9589","4913","4676","773","1746","1572","1363","1746","2389","396","788","829","729","957","1214","377","958","743","634","789","1175","5654","595","5059"
"20191","11140520","소공동","1775","896","879","250","170","458","350","228","319","111","72","236","181","124","172","139","98","222","169","104","147","976","78","898"
"20191","11140540","회현동","4496","2530","1966","303","411","453","623","920","1786","137","187","257","374","597","978","166","224","196","249","323","808","2911","390","2521"
"20191","11140550","명동","2837","1192","1645","220","265","397","472","497","986","103","126","179","199","224","361","117","139","218","273","273","625","1415","0","1415"
"20191","11140570","필동","4059","2103","1956","424","615","650","530","676","1164","220","320","355","315","351","542","204","295","295","215","325","622","2281","35","2246"
"20191","11140580","장충동","4716","2396","2320","527","1126","729","640","629","1065","266","615","379","351","307","478","261","511","350","289","322","587","2623","100","2523"
"20191","11140590","광희동","4990","2652","2338","376","706","722","651","920","1615","198","354","392","363","525","820","178","352","330","288","395","795","2902","159","2743"
"20191","11140605","을지로동","1631","1033","598","85","136","187","185","362","676","47","62","110","129","260","425","38","74","77","56","102","251","1178","134","1044"
"20191","11140615","신당동","7345","3738","3607","641","1225","1108","1134","1403","1834","312","609","609","624","724","860","329","616","499","510","679","974","4015","23","3992"
"20191","11140625","다산동","14628","7105","7523","1662","2297","2442","2286","2363","3578","869","1129","1259","1131","1154","1563","793","1168","1183","1155","1209","2015","6828","133","6695"
"20191","11140635","약수동","17891","8491","9400","2390","2143","2807","2732","2885","4934","1211","1076","1335","1367","1364","2138","1179","1067","1472","1365","1521","2796","7801","5309","2492"
"20191","11140645","청구동","14714","7006","7708","1927","2051","2394","2239","2472","3631","987","998","1197","1102","1170","1552","940","1053","1197","1137","1302","2079","6452","1490","4962"
"20191","11140650","신당5동","8971","4456","4515","1179","1208","1386","1466","1607","2125","572","626","702","768","841","947","607","582","684","698","766","1178","4280","984","3296"
"20191","11140665","동화동","11451","5545","5906","1737","1700","1569","1801","2058","2586","878","869","729","912","1001","1156","859","831","840","889","1057","1430","4350","1967","2383"
"20191","11140670","황학동","12320","6070","6250","1319","1950","2697","1830","1865","2659","661","883","1357","949","979","1241","658","1067","1340","881","886","1418","6414","1892","4522"
"20191","11140680","중림동","7533","3805","3728","899","923","1250","1144","1287","2030","454","434","644","615","700","958","445","489","606","529","587","1072","3797","620","3177"
"20191","11170510","후암동","18358","8951","9407","2676","2506","3022","3010","2905","4239","1443","1288","1544","1495","1371","1810","1233","1218","1478","1515","1534","2429","8542","158","8384"
"20191","11170520","용산2가동","10502","5018","5484","1140","1499","1851","1520","1629","2863","574","769","949","731","748","1247","566","730","902","789","881","1616","5388","44","5344"
"20191","11170530","남영동","7711","4784","2927","505","946","1062","1185","1694","2319","269","464","597","792","1233","1429","236","482","465","393","461","890","5356","0","5356"
"20191","11170555","청파동","20225","9715","10510","2183","3861","3279","3083","3208","4611","1174","1694","1746","1547","1588","1966","1009","2167","1533","1536","1620","2645","10542","56","10486"
"20191","11170560","원효로1동","13991","6822","7169","2032","2018","3180","2253","1887","2621","1052","880","1597","1173","916","1204","980","1138","1583","1080","971","1417","6682","466","6216"
"20191","11170570","원효로2동","14933","7015","7918","2552","1920","2257","2551","2335","3318","1123","928","1108","1248","1168","1440","1429","992","1149","1303","1167","1878","5992","131","5861"
"20191","11170580","효창동","8783","4173","4610","1334","1328","1470","1408","1378","1865","693","622","693","678","676","811","641","706","777","730","702","1054","3653","227","3426"
"20191","11170590","용문동","12870","6204","6666","1970","1717","2244","2126","1982","2831","1018","831","1121","1051","979","1204","952","886","1123","1075","1003","1627","5397","222","5175"
"20191","11170625","한강로동","15686","7706","7980","1677","2301","3140","2327","2600","3641","882","1080","1539","1178","1300","1727","795","1221","1601","1149","1300","1914","8256","354","7902"
"20191","11170630","이촌1동","27867","12990","14877","5827","2880","3825","5240","4193","5902","2978","1408","1663","2372","2023","2546","2849","1472","2162","2868","2170","3356","10089","1826","8263"
"20191","11170640","이촌2동","9072","4285","4787","1201","1034","1571","1316","1463","2487","630","517","807","644","663","1024","571","517","764","672","800","1463","3831","583","3248"
"20191","11170650","이태원1동","6901","3276","3625","613","1004","1141","973","1112","2058","306","536","600","489","524","821","307","468","541","484","588","1237","3771","0","3771"
"20191","11170660","이태원2동","9443","4380","5063","1048","1317","1698","1480","1374","2526","507","685","831","713","612","1032","541","632","867","767","762","1494","4888","22","4866"
"20191","11170685","한남동","20476","9878","10598","2268","2694","4046","3389","3179","4900","1190","1337","2048","1670","1510","2123","1078","1357","1998","1719","1669","2777","10913","235","10678"
"20191","11170690","서빙고동","13426","6475","6951","2488","1812","1550","2592","2215","2769","1254","908","731","1244","1133","1205","1234","904","819","1348","1082","1564","5252","230","5022"
"20191","11170700","보광동","15000","7341","7659","1509","2297","2401","2356","2561","3876","824","1277","1291","1153","1188","1608","685","1020","1110","1203","1373","2268","7692","58","7634"
"20191","11200520","왕십리2동","18133","8893","9240","2677","2702","3251","2912","2912","3679","1373","1339","1639","1435","1443","1664","1304","1363","1612","1477","1469","2015","7813","776","7037"
"20191","11200535","왕십리도선동","27002","12959","14043","4157","4313","4905","4167","4429","5031","2095","2018","2362","2091","2121","2272","2062","2295","2543","2076","2308","2759","11298","1621","9677"
"20191","11200540","마장동","22989","11349","11640","3144","4214","3521","3252","3742","5116","1605","2086","1811","1630","1861","2356","1539","2128","1710","1622","1881","2760","10324","3143","7181"
"20191","11200550","사근동","11355","5864","5491","1250","3866","1735","1268","1265","1971","610","2137","966","652","613","886","640","1729","769","616","652","1085","6864","427","6437"
"20191","11200560","행당1동","13527","6610","6917","1835","2157","2114","2147","2235","3039","941","1052","1052","1079","1086","1400","894","1105","1062","1068","1149","1639","6135","1930","4205"
"20191","11200570","행당2동","25148","11887","13261","4603","3076","4049","4626","3850","4944","2165","1476","1948","2254","1901","2143","2438","1600","2101","2372","1949","2801","9465","4784","4681"
"20191","11200580","응봉동","16502","7851","8651","3227","1818","2413","3259","2395","3390","1616","864","1159","1571","1165","1476","1611","954","1254","1688","1230","1914","6255","2456","3799"
"20191","11200590","금호1가동","15796","7612","8184","2556","1882","2855","2635","2440","3428","1308","942","1387","1328","1172","1475","1248","940","1468","1307","1268","1953","6435","3184","3251"
"20191","11200615","금호2?3가동","24282","11651","12631","3650","3009","4607","3993","3676","5347","1877","1494","2195","2016","1761","2308","1773","1515","2412","1977","1915","3039","10244","3292","6952"
"20191","11200620","금호4가동","14855","7120","7735","2425","1636","2848","2641","2193","3112","1236","841","1324","1332","1062","1325","1189","795","1524","1309","1131","1787","6307","3305","3002"
"20191","11200645","옥수동","27436","12889","14547","4576","3260","5617","4560","3994","5429","2326","1528","2526","2259","1848","2402","2250","1732","3091","2301","2146","3027","10989","6754","4235"
"20191","11200650","성수1가1동","16524","8316","8208","2386","2477","2958","2692","2965","3046","1207","1299","1512","1324","1560","1414","1179","1178","1446","1368","1405","1632","7343","1937","5406"
"20191","11200660","성수1가2동","15320","7658","7662","2079","2400","2914","2467","2425","3035","1079","1206","1444","1274","1217","1438","1000","1194","1470","1193","1208","1597","7042","2053","4989"
"20191","11200670","성수2가1동","17810","9254","8556","2158","2500","2834","2716","3422","4180","1103","1309","1529","1449","1860","2004","1055","1191","1305","1267","1562","2176","8551","1792","6759"
"20191","11200690","성수2가3동","10957","5677","5280","1208","1822","2070","1521","1855","2481","615","885","1091","818","1023","1245","593","937","979","703","832","1236","5423","1627","3796"
"20191","11200720","송정동","11288","6008","5280","1365","1664","1849","1755","2174","2481","716","893","1031","972","1202","1194","649","771","818","783","972","1287","5456","796","4660"
"20191","11200790","용답동","15279","8076","7203","1596","2334","2302","2465","2897","3685","811","1181","1275","1387","1644","1778","785","1153","1027","1078","1253","1907","8006","85","7921"
"20191","11215710","화양동","21361","10250","11111","1272","8040","4490","2263","2103","3193","623","3475","2320","1267","1118","1447","649","4565","2170","996","985","1746","15105","308","14797"
"20191","11215730","군자동","19854","9809","10045","2244","3996","3802","2802","2985","4025","1174","1928","1944","1435","1499","1829","1070","2068","1858","1367","1486","2196","10272","554","9718"
