"상권_구분_코드","상권_구분_코드_명","상권_코드","상권_코드_명","엑스좌표_값","와이좌표_값","자치구_코드","자치구_코드_명","행정동_코드","행정동_코드_명","영역_면적"
"A","골목상권","3110008","배화여자대학교(박노수미술관)","197093","453418","11110","종로구","11110515","청운효자동","149264"
"A","골목상권","3110009","자하문터널","196991","455057","11110","종로구","11110550","부암동","178306"
"A","골목상권","3110010","평창동서측","197064","456643","11110","종로구","11110560","평창동","369415"
"A","골목상권","3110017","정독도서관","198581","453781","11110","종로구","11110600","가회동","83855"
"A","골목상권","3110018","중앙고등학교","198883","453690","11110","종로구","11110600","가회동","166872"
"A","골목상권","3110019","창덕궁","199222","452926","11110","종로구","11110615","종로1?2?3?4가동","40999"
"A","골목상권","3110020","서울국제고등학교","199598","454302","11110","종로구","11110650","혜화동","133692"
"A","골목상권","3110001","이북5도청사","196262","456660","11110","종로구","11110560","평창동","108529"
"A","골목상권","3110002","독립문역 1번","196220","452912","11110","종로구","11110570","무악동","31531"
"A","골목상권","3110003","세검정초등학교","196389","455998","11110","종로구","11110550","부암동","191570"
"A","골목상권","3110004","대신고등학교","196517","452627","11110","종로구","11110580","교남동","18781"
"A","골목상권","3110035","동묘앞역 2번","201699","452879","11110","종로구","11110710","숭인2동","95779"
"A","골목상권","3110011","청운초등학교","197219","454141","11110","종로구","11110515","청운효자동","26913"
"A","골목상권","3110012","성곡미술관","197292","452641","11110","종로구","11110530","사직동","124348"
"A","골목상권","3110013","체부동홍종문가옥","197340","453202","11110","종로구","11110530","사직동","17064"
"A","골목상권","3110014","경복고등학교","197484","453952","11110","종로구","11110515","청운효자동","63411"
"A","골목상권","3110015","청와대사랑채","197585","453623","11110","종로구","11110515","청운효자동","69399"
"A","골목상권","3110016","평창동동측","197827","457040","11110","종로구","11110560","평창동","522818"
"A","골목상권","3110005","세검정","196688","455706","11110","종로구","11110550","부암동","244923"
"A","골목상권","3110006","부암동주민센터","196701","454714","11110","종로구","11110550","부암동","91486"
"A","골목상권","3110007","사직공원(한국사회과학도서관)","196895","452714","11110","종로구","11110530","사직동","80252"
"A","골목상권","3110037","신설동역 12번","201949","453159","11110","종로구","11110710","숭인2동","55232"
"A","골목상권","3110038","경향신문사","197253","451928","11140","중구","11140520","소공동","36893"
"A","골목상권","3110039","회현역 1번","198305","450967","11140","중구","11140540","회현동","9928"
"A","골목상권","3110021","성균관대학교","199759","453776","11110","종로구","11110650","혜화동","77655"
"A","골목상권","3110022","경신고등학교","199921","454166","11110","종로구","11110650","혜화동","60182"
"A","골목상권","3110023","서울대병원","200139","453265","11110","종로구","11110640","이화동","15969"
"A","골목상권","3110024","혜회동주민센터","200121","454192","11110","종로구","11110650","혜화동","52850"
"A","골목상권","3110025","충신시장옆","200370","452813","11110","종로구","11110630","종로5?6가동","39184"
"A","골목상권","3110026","종로5가역 4번","200477","452601","11110","종로구","11110630","종로5?6가동","16485"
"A","골목상권","3110027","혜화역 1번","200507","453618","11110","종로구","11110640","이화동","117673"
"A","골목상권","3110028","이화달팽이길","200575","452995","11110","종로구","11110640","이화동","159124"
"A","골목상권","3110029","동대문역 1번","200934","452953","11110","종로구","11110680","창신2동","153230"
"A","골목상권","3110030","동대문역 3번","201063","452656","11110","종로구","11110670","창신1동","9161"
"A","골목상권","3110031","창신역 1번","201298","453314","11110","종로구","11110690","창신3동","32878"
"A","골목상권","3110032","수족관거리","201321","452326","11110","종로구","11110670","창신1동","9323"
"A","골목상권","3110033","창신역 4번","201471","453118","11110","종로구","11110700","숭인1동","77869"
"A","골목상권","3110034","창신1동주민센터","201508","452344","11110","종로구","11110670","창신1동","29604"
"A","골목상권","3110057","황학코아루아파트","202013","451863","11140","중구","11140670","황학동","30230"
"A","골목상권","3110058","성심여자고등학교","195949","448136","11170","용산구","11170570","원효로2동","135620"
"A","골목상권","3110059","새남터성지","196084","447363","11170","용산구","11170640","이촌2동","56970"
"A","골목상권","3110036","동묘앞역 3번","201783","452612","11110","종로구","11110710","숭인2동","18431"
